Date,Open,High,Low,Close,Adj Close,Volume
2011-06-06,49.049999,49.380001,47.330002,47.740002,41.196590,27162700
2011-06-13,47.959999,49.139999,46.919998,48.500000,41.852436,37695800
2011-06-20,48.349998,50.150002,48.150002,48.340000,41.714371,34875000
2011-06-27,48.490002,52.500000,48.369999,52.340000,45.166111,34880200
2011-07-04,52.270000,53.799999,51.820000,53.070000,45.962109,22512800
2011-07-11,52.500000,53.360001,51.020000,51.810001,44.870869,31939700
2011-07-18,51.500000,53.279999,50.540001,52.240002,45.243279,37196100
2011-07-25,51.660000,52.299999,49.540001,50.040001,43.337925,24377800
2011-08-01,50.490002,50.610001,46.459999,47.209999,40.886959,50375800
2011-08-08,45.849998,46.770000,42.029999,44.889999,38.877689,83362700
2011-08-15,45.160000,45.980000,43.650002,44.470001,38.513943,50948800
2011-08-22,45.200001,49.279999,44.160000,48.480000,41.986874,43966100
2011-08-29,49.209999,49.990002,47.630001,48.509998,42.012852,43672700
2011-09-05,47.250000,50.529999,47.130001,47.279999,40.947578,35046000
2011-09-12,46.340000,50.180000,46.130001,50.119999,43.407211,39553100
2011-09-19,49.259998,50.349998,45.580002,46.450001,40.228760,44343000
2011-09-26,46.849998,48.660000,44.869999,44.900002,38.886353,42563300
2011-10-03,44.520000,45.480000,41.299999,43.430000,37.613239,60548300
2011-10-10,44.450001,47.650002,44.450001,46.099998,40.091793,41430300
2011-10-17,45.869999,48.470001,44.689999,48.459999,42.144218,52177800
2011-10-24,48.320000,52.349998,48.320000,52.099998,45.309826,54276000
2011-10-31,51.320000,52.040001,48.910000,51.180000,44.509716,38254400
2011-11-07,50.869999,51.599998,48.730000,50.369999,43.805298,30662300
2011-11-14,49.790001,50.389999,46.360001,46.880001,40.770149,31894600
2011-11-21,46.150002,46.389999,44.700001,45.000000,39.135159,24150400
2011-11-28,46.070000,49.020000,45.490002,48.230000,41.944183,41528100
2011-12-05,49.160000,49.389999,47.630001,48.799999,42.439892,32121700
2011-12-12,48.189999,48.639999,46.340000,46.880001,40.770149,38659300
2011-12-19,46.869999,48.490002,45.889999,47.950001,41.700684,28094100
2011-12-26,47.959999,48.169998,46.840000,47.169998,41.022335,12722100
2012-01-02,48.299999,49.250000,47.400002,48.270000,41.978981,22792400
2012-01-09,48.320000,49.799999,48.119999,49.759998,43.436367,28044400
2012-01-16,49.590000,51.000000,48.840000,50.040001,43.680771,33004200
2012-01-23,50.020000,50.680000,48.900002,49.849998,43.514923,31089100
2012-01-30,49.430000,52.450001,48.900002,52.250000,45.609924,33121300
2012-02-06,51.880001,52.610001,51.360001,51.810001,45.225849,29019100
2012-02-13,52.240002,53.310001,51.380001,52.860001,46.142403,27107800
2012-02-20,52.720001,53.419998,52.459999,53.330002,46.552670,19243400
2012-02-27,52.930000,54.450001,52.570000,52.990002,46.255890,34159000
2012-03-05,52.650002,53.470001,51.540001,53.200001,46.439190,25971400
2012-03-12,53.200001,57.380001,52.509998,56.549999,49.363468,42211900
2012-03-19,56.599998,57.549999,56.410000,57.250000,49.974518,27557600
2012-03-26,57.750000,59.259998,57.240002,57.860001,50.506992,33127800
2012-04-02,57.900002,58.500000,57.209999,58.099998,50.716496,21976500
2012-04-09,57.220001,58.090000,56.139999,57.279999,50.173668,27904900
